User_Query,Intent
My card isn't working.,Card_Issue
I still haven't received my new debit card.,Card_Issue
Someone stole my credit card last night.,Card_Issue
I need to report a lost card.,Card_Issue
The ATM ate my card and didn't return it.,Card_Issue
My card got declined at the grocery store why?,Card_Issue
I'm trying to activate my new card but it's not going through.,Card_Issue
I forgot my PIN how can I reset it?,Card_Issue
My card is damaged and the strip doesn't work anymore.,Card_Issue
Can you block my card immediately? I think I lost it.,Card_Issue
I haven't gotten my replacement card yet it's been over 10 days.,Card_Issue
Why is my card being declined for online purchases?,Card_Issue
My card is stuck in the ATM machine.,Card_Issue
I need a new card my current one is broken.,Card_Issue
My PIN is not working I'm sure I'm entering it correctly.,Card_Issue
The contactless feature on my card has stopped working.,Card_Issue
I never requested this card but I received one in the mail.,Card_Issue
My card was fraudulently used I need a new one.,Card_Issue
The chip on my debit card is damaged.,Card_Issue
How long does it take to get a new credit card?,Card_Issue
I activated my card but it's still not working.,Card_Issue
My card is expiring soon when will I get the new one?,Card_Issue
I want to cancel my card it was stolen.,Card_Issue
The magnetic stripe on my card isn't being read.,Card_Issue
I need help with my card not being accepted online.,Card_Issue
My card no dey work for POS.,Card_Issue
Why is my card being declined at supermarkets?,Card_Issue
I enter my PIN correct but POS say declined.,Card_Issue
My card rejected for online payment.,Card_Issue
I can't use my card for Uber rides.,Card_Issue
Card decline for Netflix subscription.,Card_Issue
My card stopped working suddenly.,Card_Issue
"I get ""transaction declined"" error always.",Card_Issue
My card no gree work for abroad transactions.,Card_Issue
POS machine is swallowing my card.,Card_Issue
"ATM say ""invalid card"" when I put my card.",Card_Issue
My card dey but e no dey function.,Card_Issue
Why my card no dey accept for Jumia?,Card_Issue
Card decline for flight ticket booking.,Card_Issue
My card won't work for international purchases.,Card_Issue
I lost my card at the market yesterday.,Card_Issue
My card don lost I need to block am quick quick.,Card_Issue
Someone stole my wallet with my cards inside.,Card_Issue
My card missing since morning.,Card_Issue
I think I forget my card for ATM machine.,Card_Issue
My card stolen from my car.,Card_Issue
I dey travel my card got missing.,Card_Issue
My purse with cards stolen on bus.,Card_Issue
I need to report missing card immediately.,Card_Issue
My card lost during church service.,Card_Issue
Pickpocket collect my card for Lagos island.,Card_Issue
My card fell from my pocket unknowingly.,Card_Issue
I suspect someone has my card details.,Card_Issue
My card missing after party.,Card_Issue
I can't find my card anywhere in my house.,Card_Issue
My card don tear.,Card_Issue
The chip on my card is damaged.,Card_Issue
Magnetic strip no dey work again.,Card_Issue
My card bend inside my pocket.,Card_Issue
Water spoil my card.,Card_Issue
My card dey but the chip don spoil.,Card_Issue
The card reader cannot read my card.,Card_Issue
My card got melted in the sun.,Card_Issue
My child chewed my card.,Card_Issue
My card snapped into two pieces.,Card_Issue
The gold part of my card is peeling off.,Card_Issue
My card faded name no dey clear.,Card_Issue
My card get scratch for the magnetic part.,Card_Issue
My card won't enter any ATM machine.,Card_Issue
My card looks okay but doesn't work anywhere.,Card_Issue
I forget my PIN how I go reset am?,Card_Issue
My PIN no dey work again.,Card_Issue
I want to change my card PIN.,Card_Issue
ATM eat my card because of wrong PIN.,Card_Issue
How to reset forgotten PIN online?,Card_Issue
I need new PIN for my card.,Card_Issue
My PIN locked after three attempts.,Card_Issue
I can't remember my PIN since I travel.,Card_Issue
How to unlock my PIN?,Card_Issue
I want to set new PIN for my card.,Card_Issue
My PIN not working even though I know it.,Card_Issue
I need help with PIN reset urgently.,Card_Issue
My card blocked because of PIN issues.,Card_Issue
How to recover my PIN without visiting branch?,Card_Issue
I entered correct PIN but it says invalid.,Card_Issue
My new card no gree activate.,Card_Issue
How to activate my card through USSD?,Card_Issue
I tried activation but it failed.,Card_Issue
My card still not active after activation.,Card_Issue
Activation code not working.,Card_Issue
I no receive activation SMS.,Card_Issue
"My card say ""not activated"" when I use am.",Card_Issue
How long does card activation take?,Card_Issue
I followed all activation steps but no success.,Card_Issue
My card activation expired.,Card_Issue
I need help to activate my debit card.,Card_Issue
Activation through mobile app failed.,Card_Issue
My card still inactive after 24 hours.,Card_Issue
The activation link is not working.,Card_Issue
I can't find where to activate my card.,Card_Issue
I want to block my card immediately.,Card_Issue
My card blocked itself.,Card_Issue
How to unblock my card?,Card_Issue
My card blocked after suspicious activity.,Card_Issue
I need temporary block on my card.,Card_Issue
My card blocked because of too many PIN attempts.,Card_Issue
I want to block my lost card quickly.,Card_Issue
My card dey blocked and I no know why.,Card_Issue
How to remove block from my card?,Card_Issue
My card blocked during travel.,Card_Issue
My card expired and I no get new one.,Card_Issue
My card dey but account no get money.,Card_Issue
My card working but transactions failing.,Card_Issue
I need upgrade my card type.,Card_Issue
My card no dey work for international.,Card_Issue
My card restricted for some transactions.,Card_Issue
I want to change from Naira card to Dollar card.,Card_Issue
My card limit too small I need increase.,Card_Issue
My card details compromised.,Card_Issue
I see strange transactions on my card.,Card_Issue
My card charged for things I no buy.,Card_Issue
My card debited twice for one purchase.,Card_Issue
My card no dey work for POS but ATM dey work.,Card_Issue
My card working for Nigeria but not abroad.,Card_Issue
My card rejected at hotel check-in.,Card_Issue
My card no gree work for market POS.,Card_Issue
I can't use my card for transport on Uber/Bolt.,Card_Issue
My card decline for betting site.,Card_Issue
My card no dey work for school fees payment.,Card_Issue
I can't pay with my card for generator.,Card_Issue
My card rejected at filling station.,Card_Issue
My card no gree for DSTV payment.,Card_Issue
I can't use card for shopping at Shoprite.,Card_Issue
My card decline for airport tax.,Card_Issue
My card no dey work for pharmacy.,Card_Issue
My card rejected at restaurant.,Card_Issue
I can't pay with card for hotel booking.,Card_Issue
My card no gree for online shopping.,Card_Issue
My card decline for medical bills.,Card_Issue
My card no dey work for church donation.,Card_Issue
My card skimmed at ATM location.,Card_Issue
I need virtual card for online transactions.,Card_Issue
My card linked to wrong account.,Card_Issue
My card showing wrong balance.,Card_Issue
My card transactions not reflecting.,Card_Issue
My card charged in foreign currency incorrectly.,Card_Issue
My card no dey work for dollar transactions.,Card_Issue
My card restricted by CBN.,Card_Issue
My card has holding amount too long.,Card_Issue
My card details stolen online.,Card_Issue
My card used for fraud without my knowledge.,Card_Issue
My card biometric verification failing.,Card_Issue
My card OTP not delivering.,Card_Issue
My card 3D secure not working.,Card_Issue
My card tokenization failed.,Card_Issue
Abeg my card no dey work at all.,Card_Issue
I tire for this card matter.,Card_Issue
My card just dey give me headache.,Card_Issue
This card issue don too much.,Card_Issue
My card problem never finish.,Card_Issue
I need permanent solution to my card issues.,Card_Issue
My card has been problematic since I collected it.,Card_Issue
My card gives error at every POS terminal.,Card_Issue
My card works sometimes and fails other times.,Card_Issue
My card issues are affecting my business.,Card_Issue
I can't make payments with my card anywhere.,Card_Issue
My card gets declined at crucial moments.,Card_Issue
My card problems are embarrassing me.,Card_Issue
I need immediate help with my card issues.,Card_Issue
My card has been nothing but trouble.,Card_Issue
My card stopped working after app update.,Card_Issue
My card issues started after network problem.,Card_Issue
My card no dey work since yesterday maintenance.,Card_Issue
My card problem begin after I travel.,Card_Issue
My card issues after SIM card change.,Card_Issue
My card not working since I updated my profile.,Card_Issue
My card problems after mobile banking upgrade.,Card_Issue
My card issues started randomly last week.,Card_Issue
My card was working until this morning.,Card_Issue
My card problems began after system upgrade.,Card_Issue
All my cards are not working.,Card_Issue
My two cards have the same problem.,Card_Issue
My primary card failed backup card also failed.,Card_Issue
Both my debit and credit cards declined.,Card_Issue
My corporate card and personal card not working.,Card_Issue
My card no dey work and I need money urgently.,Card_Issue
I dey abroad my card no dey work.,Card_Issue
My card blocked and I need medical attention.,Card_Issue
My card failed during emergency purchase.,Card_Issue
I stranded because my card no dey work.,Card_Issue
My card EMV chip failed.,Card_Issue
My card contactless payment not working.,Card_Issue
My card NFC feature disabled.,Card_Issue
My card magnetic stripe corrupted.,Card_Issue
My card proximity payment failing.,Card_Issue
My card not linked to my account properly.,Card_Issue
My card showing old account details.,Card_Issue
My card associated with closed account.,Card_Issue
My card still connected to previous phone number.,Card_Issue
My card issues after account upgrade.,Card_Issue
My card blocked for KYC update.,Card_Issue
My card restricted for BVN issues.,Card_Issue
My card not working due to compliance requirements.,Card_Issue
My card suspended for verification.,Card_Issue
My card frozen for investigation.,Card_Issue
My card no dey work for Lagos markets.,Card_Issue
My card rejected at Abuja supermarkets.,Card_Issue
My card decline at Port Harcourt filling stations.,Card_Issue
My card no gree for Ibadan POS terminals.,Card_Issue
My card failed at Kano business centers.,Card_Issue
My card just dey do anyhow.,Card_Issue
This card matter don choke.,Card_Issue
My card dey misbehave seriously.,Card_Issue
My card just dey give me stress.,Card_Issue
This card issue don tire me.,Card_Issue
My card no dey cooperate at all.,Card_Issue
My card dey play games with me.,Card_Issue
This card problem too strong.,Card_Issue
My card dey do shakara.,Card_Issue
My card just dey find my trouble.,Card_Issue
I am writing to complain about my card issues.,Card_Issue
My card has been malfunctioning for weeks.,Card_Issue
I require immediate assistance with my card problems.,Card_Issue
My card technical issues need resolution.,Card_Issue
I have been experiencing persistent card failures.,Card_Issue
Card not working.,Card_Issue
My card failed.,Card_Issue
Card declined.,Card_Issue
Lost my card.,Card_Issue
Card blocked.,Card_Issue
PIN not working.,Card_Issue
Card activation.,Card_Issue
New card not received.,Card_Issue
Card damaged.,Card_Issue
Stolen card.,Card_Issue
My card was working in Nigeria but failed in UK.,Card_Issue
My card works for small amounts but declines large ones.,Card_Issue
My card accepts some merchants but rejects others.,Card_Issue
My card works daytime but fails at night.,Card_Issue
My card successful at ATMs but fails at POS.,Card_Issue
My card no dey work for WhatsApp payment.,Card_Issue
My card rejected by PayPal.,Card_Issue
My card issues with Flutterwave integration.,Card_Issue
My card not working for Paystack payments.,Card_Issue
My card decline on Remita platform.,Card_Issue
My card failed on Monnify payment.,Card_Issue
My card issues with Interswitch webpay.,Card_Issue
My card not accepting on Quickteller.,Card_Issue
My card problems with bank's own USSD.,Card_Issue
My card failing on mobile banking app.,Card_Issue
My card matter need urgent attention.,Card_Issue
I need help with my card wahala.,Card_Issue
This card problem don pass me.,Card_Issue
My card issues are beyond me now.,Card_Issue
I surrender for this card matter.,Card_Issue
My card troubles too numerous.,Card_Issue
I need permanent card solution.,Card_Issue
My card frustrations mounting.,Card_Issue
This card issue affecting my mental health.,Card_Issue
My card problems making life difficult.,Card_Issue
My transfer is still pending.,Transfer_Issue
I sent money to the wrong person.,Transfer_Issue
The money was taken from my account but the recipient says they didn't get it.,Transfer_Issue
My international wire transfer is taking too long.,Transfer_Issue
The bank app says my transfer failed.,Transfer_Issue
How do I cancel a pending transfer?,Transfer_Issue
I think I entered the wrong account number for a transfer.,Transfer_Issue
The transfer hasn't shown up in the other account.,Transfer_Issue
Why is there a delay in my transaction?,Transfer_Issue
I tried to send money but got an error message.,Transfer_Issue
My transfer was returned. What happened?,Transfer_Issue
I'm trying to make a transfer but it says I've exceeded my limit.,Transfer_Issue
The recipient's name and account number don't match what will happen?,Transfer_Issue
How long does a bank transfer usually take? It's been 3 days.,Transfer_Issue
I need to track a transfer I made yesterday.,Transfer_Issue
The money hasn't left my account but the transfer is confirmed.,Transfer_Issue
My quick pay transfer is not instant.,Transfer_Issue
Can you reverse a transfer that I just made?,Transfer_Issue
I set up a recurring transfer but it didn't go through this month.,Transfer_Issue
The exchange rate applied to my transfer seems incorrect.,Transfer_Issue
I got a notification that my transfer could not be completed.,Transfer_Issue
"The status of my wire transfer is stuck on ""processing"".",Transfer_Issue
I need help with a failed Zelle payment.,Transfer_Issue
Why can't I send money to this specific person?,Transfer_Issue
The system won't let me confirm the transfer.,Transfer_Issue
I tried to transfer but it failed and my account was debited.,Transfer_Issue
Money leave my account but never reach receiver.,Transfer_Issue
Transfer failed but my balance reduced.,Transfer_Issue
I get debit alert but no credit alert for recipient.,Transfer_Issue
My account don deduct but transaction failed.,Transfer_Issue
The money disappeared during transfer.,Transfer_Issue
Transfer failed but money never return.,Transfer_Issue
My balance reduced but transfer not successful.,Transfer_Issue
I lost money during failed transaction.,Transfer_Issue
System debited me for failed transfer.,Transfer_Issue
My transfer still dey pending since morning.,Transfer_Issue
Why my transfer taking so long?,Transfer_Issue
The money never leave my account but transfer pending.,Transfer_Issue
My transfer has been processing for hours.,Transfer_Issue
I need my transfer to go through urgently.,Transfer_Issue
The pending transfer is affecting my business.,Transfer_Issue
How long does transfer take to clear?,Transfer_Issue
My transfer stuck on processing.,Transfer_Issue
The money hasn't reached destination account.,Transfer_Issue
My transfer delay too much.,Transfer_Issue
I sent money to wrong account number.,Transfer_Issue
I transferred to wrong person by mistake.,Transfer_Issue
I enter wrong account number for transfer.,Transfer_Issue
Money go to wrong recipient how I go get am back?,Transfer_Issue
I mistakenly sent money to old account number.,Transfer_Issue
I transferred to closed account.,Transfer_Issue
Wrong beneficiary received my money.,Transfer_Issue
I sent money to right account but wrong bank.,Transfer_Issue
I selected wrong transfer option.,Transfer_Issue
I sent domestic transfer instead of international.,Transfer_Issue
My international transfer delayed at CBN.,Transfer_Issue
Wire transfer taking more than 5 days.,Transfer_Issue
My dollar transfer stuck in process.,Transfer_Issue
Foreign currency transfer not delivered.,Transfer_Issue
My SWIFT transfer has issues.,Transfer_Issue
International money transfer failed.,Transfer_Issue
My overseas transfer encountering problems.,Transfer_Issue
Cross-border payment delayed.,Transfer_Issue
My foreign exchange transfer stuck.,Transfer_Issue
International remittance not received.,Transfer_Issue
I can't transfer above 50k.,Transfer_Issue
My transfer limit too small for my business.,Transfer_Issue
I reached my daily transfer limit.,Transfer_Issue
How to increase my transfer limit?,Transfer_Issue
My transaction limit blocking my transfer.,Transfer_Issue
I need higher transfer limit urgently.,Transfer_Issue
My corporate transfer limit insufficient.,Transfer_Issue
I can't complete transfer due to limit restrictions.,Transfer_Issue
My transfer exceeded single transaction limit.,Transfer_Issue
Limit issues preventing my payment.,Transfer_Issue
My USSD transfer failed.,Transfer_Issue
I get error when transferring via USSD code.,Transfer_Issue
USSD banking not completing my transfers.,Transfer_Issue
My transfer via *945# failed.,Transfer_Issue
USSD transaction problems.,Transfer_Issue
Mobile banking code not working for transfers.,Transfer_Issue
USSD transfer debited me but failed.,Transfer_Issue
I can't transfer using short code.,Transfer_Issue
USSD banking giving transfer errors.,Transfer_Issue
My quick transfer via code not going through.,Transfer_Issue
My bank app not processing transfers.,Transfer_Issue
Mobile banking transfer failing.,Transfer_Issue
I can't transfer through the app.,Transfer_Issue
App transfer stuck on loading.,Transfer_Issue
Mobile transfer giving error message.,Transfer_Issue
The banking app crashes during transfer.,Transfer_Issue
